--------- beginning of main
03-04 14:59:26.587  1678  2517 D WifiClientModeImpl[7680:wlan0]: updateLinkLayerStatsRssiSpeedFrequencyCapabilities rssi=-32 TxLinkspeed=173 freq=2437 RxLinkSpeed=173
03-04 14:59:26.607  1678  2517 D WifiScoreCard: BSSID update SIGNAL_POLL ID: 1184386015 SSID: "CPH2791 356E", BSSID: ba:1f:67:91:57:61, MAC: 16:78:c4:12:c4:32, IP: /10.222.68.90, Security type: 2, Supplicant state: COMPLETED, Wi-Fi standard: 11n, RSSI: -32, Link speed: 156Mbps, Tx Link speed: 156Mbps, Max Supported Tx Link speed: 144Mbps, Calculated Tx : 125Mbps, Rx Link speed: 192Mbps, Max Supported Rx Link speed: 144Mbps, Calculated Rx : 162Mbps, Frequency: 2437MHz, Net ID: 1, Metered hint: true, score: 60, isUsable: true, CarrierMerged: false, SubscriptionId: -1, IsPrimary: 1, Trusted: true, Restricted: false, Ephemeral: false, OEM paid: false, OEM private: false, OSU AP: false, FQDN: <none>, Provider friendly name: <none>, Requesting package name: <none>"CPH2791 356E"wpa2-pskMLO Information: , Is TID-To-Link negotiation supported by the AP: false, AP MLD Address: <none>, AP MLO Link Id: <none>, AP MLO Affiliated links: <none>, Vendor Data: <none>
03-04 14:59:26.608  1678  2517 D WifiScoreCard: txRate: 2 txSpeed: 156
03-04 14:59:26.608  1678  2517 D WifiScoreCard: network update SIGNAL_POLL "CPH2791 356E" ID: 1373722228 RSSI -32 txSpeed -1
03-04 14:59:26.609  1678  2517 D WifiClientModeImpl[7680:wlan0]:  ClientModeImpl$L2ConnectedState screen=on 24 0 "CPH2791 356E" ba:1f:67:91:57:61 rssi=-32 f=2437 sc=60 link=156 tx=1.1, 0.0, 0.0 rx=1.4 bcn=23433 [on:350 tx:5 rx:3 period:3182] from screen [on:843 period:6352] score=60
03-04 14:59:26.609  1678  3076 I WifiService: updateWifiUsabilityScore uid=10195 seqNum=674 score=100 predictionHorizonSec=1638403
03-04 14:59:26.610  1678  2517 D WifiNetworkFactory: got request NetworkRequest [ REQUEST id=5198, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10154 RequestorUid: 10154 RequestorPkg: com.google.android.apps.nbu.files UnderlyingNetworks: Null] ]
03-04 14:59:26.610  1678  2517 V WifiNetworkFactory: Accepted network request NetworkRequest [ REQUEST id=5198, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10154 RequestorUid: 10154 RequestorPkg: com.google.android.apps.nbu.files UnderlyingNetworks: Null] ]
03-04 14:59:26.610  1678  2517 D UntrustedWifiNetworkFactory: got request NetworkRequest [ REQUEST id=5198, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10154 RequestorUid: 10154 RequestorPkg: com.google.android.apps.nbu.files UnderlyingNetworks: Null] ]
03-04 14:59:26.611  1678  2517 D OemPaidWifiNetworkFactory: got request NetworkRequest [ REQUEST id=5198, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10154 RequestorUid: 10154 RequestorPkg: com.google.android.apps.nbu.files UnderlyingNetworks: Null] ]
03-04 14:59:26.611  1678  2517 D MultiInternetWifiNetworkFactory: got request NetworkRequest [ REQUEST id=5198, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10154 RequestorUid: 10154 RequestorPkg: com.google.android.apps.nbu.files UnderlyingNetworks: Null] ]
03-04 14:59:26.611  1678  2517 D WifiNetworkFactory: got request NetworkRequest [ REQUEST id=5200, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10154 RequestorUid: 10154 RequestorPkg: com.google.android.apps.nbu.files UnderlyingNetworks: Null] ]
03-04 14:59:26.611  1678  2517 V WifiNetworkFactory: Accepted network request NetworkRequest [ REQUEST id=5200, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10154 RequestorUid: 10154 RequestorPkg: com.google.android.apps.nbu.files UnderlyingNetworks: Null] ]
03-04 14:59:26.611  1678  2517 D UntrustedWifiNetworkFactory: got request NetworkRequest [ REQUEST id=5200, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10154 RequestorUid: 10154 RequestorPkg: com.google.android.apps.nbu.files UnderlyingNetworks: Null] ]
03-04 14:59:26.611  1678  2517 D OemPaidWifiNetworkFactory: got request NetworkRequest [ REQUEST id=5200, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10154 RequestorUid: 10154 RequestorPkg: com.google.android.apps.nbu.files UnderlyingNetworks: Null] ]
03-04 14:59:26.612  1678  2517 D MultiInternetWifiNetworkFactory: got request NetworkRequest [ REQUEST id=5200, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10154 RequestorUid: 10154 RequestorPkg: com.google.android.apps.nbu.files UnderlyingNetworks: Null] ]
03-04 14:59:26.612  1678  2517 D WifiNetworkFactory: got request NetworkRequest [ REQUEST id=5202, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10154 RequestorUid: 10154 RequestorPkg: com.google.android.apps.nbu.files UnderlyingNetworks: Null] ]
03-04 14:59:26.612  1678  2517 V WifiNetworkFactory: Accepted network request NetworkRequest [ REQUEST id=5202, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10154 RequestorUid: 10154 RequestorPkg: com.google.android.apps.nbu.files UnderlyingNetworks: Null] ]
03-04 14:59:26.612  1678  2517 D UntrustedWifiNetworkFactory: got request NetworkRequest [ REQUEST id=5202, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10154 RequestorUid: 10154 RequestorPkg: com.google.android.apps.nbu.files UnderlyingNetworks: Null] ]
03-04 14:59:26.612  1678  2517 D OemPaidWifiNetworkFactory: got request NetworkRequest [ REQUEST id=5202, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10154 RequestorUid: 10154 RequestorPkg: com.google.android.apps.nbu.files UnderlyingNetworks: Null] ]
03-04 14:59:26.612  1678  2517 D MultiInternetWifiNetworkFactory: got request NetworkRequest [ REQUEST id=5202, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10154 RequestorUid: 10154 RequestorPkg: com.google.android.apps.nbu.files UnderlyingNetworks: Null] ]
03-04 14:59:26.613  1678  2517 D WifiNetworkFactory: got request NetworkRequest [ REQUEST id=5204, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10154 RequestorUid: 10154 RequestorPkg: com.google.android.apps.nbu.files UnderlyingNetworks: Null] ]
03-04 14:59:26.613  1678  2517 V WifiNetworkFactory: Accepted network request NetworkRequest [ REQUEST id=5204, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10154 RequestorUid: 10154 RequestorPkg: com.google.android.apps.nbu.files UnderlyingNetworks: Null] ]
03-04 14:59:26.613  1678  2517 D UntrustedWifiNetworkFactory: got request NetworkRequest [ REQUEST id=5204, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10154 RequestorUid: 10154 RequestorPkg: com.google.android.apps.nbu.files UnderlyingNetworks: Null] ]
03-04 14:59:26.613  1678  2517 D OemPaidWifiNetworkFactory: got request NetworkRequest [ REQUEST id=5204, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10154 RequestorUid: 10154 RequestorPkg: com.google.android.apps.nbu.files UnderlyingNetworks: Null] ]
03-04 14:59:26.613  1678  2517 D MultiInternetWifiNetworkFactory: got request NetworkRequest [ REQUEST id=5204, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10154 RequestorUid: 10154 RequestorPkg: com.google.android.apps.nbu.files UnderlyingNetworks: Null] ]
03-04 14:59:26.615  1678  2517 D WifiNetworkFactory: got request NetworkRequest [ REQUEST id=5206, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10154 RequestorUid: 10154 RequestorPkg: com.google.android.apps.nbu.files UnderlyingNetworks: Null] ]
03-04 14:59:26.615  1678  2517 V WifiNetworkFactory: Accepted network request NetworkRequest [ REQUEST id=5206, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10154 RequestorUid: 10154 RequestorPkg: com.google.android.apps.nbu.files UnderlyingNetworks: Null] ]
03-04 14:59:26.616  9716  9785 W JobInfo : Requested important-while-foreground flag for job2965 is ignored and takes no effect
03-04 14:59:26.617  1678  2517 D UntrustedWifiNetworkFactory: got request NetworkRequest [ REQUEST id=5206, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10154 RequestorUid: 10154 RequestorPkg: com.google.android.apps.nbu.files UnderlyingNetworks: Null] ]
03-04 14:59:26.618  1678  2517 D OemPaidWifiNetworkFactory: got request NetworkRequest [ REQUEST id=5206, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10154 RequestorUid: 10154 RequestorPkg: com.google.android.apps.nbu.files UnderlyingNetworks: Null] ]
03-04 14:59:26.620  1678  2517 D MultiInternetWifiNetworkFactory: got request NetworkRequest [ REQUEST id=5206, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10154 RequestorUid: 10154 RequestorPkg: com.google.android.apps.nbu.files UnderlyingNetworks: Null] ]
03-04 14:59:26.620  1678  2526 D ConnectivityService: NetReassign [5206 : null → 103] [c 0] [a 7] [i 22]
03-04 14:59:26.625  1678  3076 D ConnectivityService: requestNetwork for uid/pid:10154/9716 activeRequest: null callbackRequest: 5207 [NetworkRequest [ REQUEST id=5208, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10154 RequestorUid: 10154 RequestorPkg: com.google.android.apps.nbu.files UnderlyingNetworks: Null] ]] callback flags: 0 order: 2147483647 isUidTracked: false declaredMethods: AVAIL|LOST|NC|BLK
03-04 14:59:26.640  1678  2526 D ConnectivityService: NetReassign [no changes] [c 4] [a 6] [i 9]
03-04 14:59:26.652  1678  2517 D WifiNetworkFactory: got request NetworkRequest [ REQUEST id=5208, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10154 RequestorUid: 10154 RequestorPkg: com.google.android.apps.nbu.files UnderlyingNetworks: Null] ]
03-04 14:59:26.652  1678  2517 V WifiNetworkFactory: Accepted network request NetworkRequest [ REQUEST id=5208, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10154 RequestorUid: 10154 RequestorPkg: com.google.android.apps.nbu.files UnderlyingNetworks: Null] ]
03-04 14:59:26.653  1678  2517 D UntrustedWifiNetworkFactory: got request NetworkRequest [ REQUEST id=5208, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10154 RequestorUid: 10154 RequestorPkg: com.google.android.apps.nbu.files UnderlyingNetworks: Null] ]
03-04 14:59:26.654  1678  2517 D OemPaidWifiNetworkFactory: got request NetworkRequest [ REQUEST id=5208, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10154 RequestorUid: 10154 RequestorPkg: com.google.android.apps.nbu.files UnderlyingNetworks: Null] ]
03-04 14:59:26.655  1678  2517 D MultiInternetWifiNetworkFactory: got request NetworkRequest [ REQUEST id=5208, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10154 RequestorUid: 10154 RequestorPkg: com.google.android.apps.nbu.files UnderlyingNetworks: Null] ]
03-04 14:59:26.656  1678  2526 D ConnectivityService: NetReassign [5208 : null → 103] [c 0] [a 5] [i 7]
03-04 14:59:26.663  9716  9807 W JobInfo : Requested important-while-foreground flag for job2966 is ignored and takes no effect
03-04 14:59:26.670  1678  3076 D ConnectivityService: requestNetwork for uid/pid:10154/9716 activeRequest: null callbackRequest: 5209 [NetworkRequest [ REQUEST id=5210, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10154 RequestorUid: 10154 RequestorPkg: com.google.android.apps.nbu.files UnderlyingNetworks: Null] ]] callback flags: 0 order: 2147483647 isUidTracked: false declaredMethods: AVAIL|LOST|NC|BLK
03-04 14:59:26.689  1678  2517 D WifiNetworkFactory: got request NetworkRequest [ REQUEST id=5210, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10154 RequestorUid: 10154 RequestorPkg: com.google.android.apps.nbu.files UnderlyingNetworks: Null] ]
03-04 14:59:26.689  1678  2517 V WifiNetworkFactory: Accepted network request NetworkRequest [ REQUEST id=5210, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10154 RequestorUid: 10154 RequestorPkg: com.google.android.apps.nbu.files UnderlyingNetworks: Null] ]
03-04 14:59:26.689  1678  2517 D UntrustedWifiNetworkFactory: got request NetworkRequest [ REQUEST id=5210, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10154 RequestorUid: 10154 RequestorPkg: com.google.android.apps.nbu.files UnderlyingNetworks: Null] ]
03-04 14:59:26.691  9716  9808 W JobInfo : Requested important-while-foreground flag for job2967 is ignored and takes no effect
03-04 14:59:26.692  1678  2517 D OemPaidWifiNetworkFactory: got request NetworkRequest [ REQUEST id=5210, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10154 RequestorUid: 10154 RequestorPkg: com.google.android.apps.nbu.files UnderlyingNetworks: Null] ]
03-04 14:59:26.693  1678  2517 D MultiInternetWifiNetworkFactory: got request NetworkRequest [ REQUEST id=5210, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10154 RequestorUid: 10154 RequestorPkg: com.google.android.apps.nbu.files UnderlyingNetworks: Null] ]
03-04 14:59:26.693  1678  2526 D ConnectivityService: NetReassign [5210 : null → 103] [c 0] [a 9] [i 13]
03-04 14:59:26.700  1678  3076 D ConnectivityService: requestNetwork for uid/pid:10154/9716 activeRequest: null callbackRequest: 5211 [NetworkRequest [ REQUEST id=5212, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10154 RequestorUid: 10154 RequestorPkg: com.google.android.apps.nbu.files UnderlyingNetworks: Null] ]] callback flags: 0 order: 2147483647 isUidTracked: false declaredMethods: AVAIL|LOST|NC|BLK
03-04 14:59:26.706  1678  2517 D WifiNetworkFactory: got request NetworkRequest [ REQUEST id=5212, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10154 RequestorUid: 10154 RequestorPkg: com.google.android.apps.nbu.files UnderlyingNetworks: Null] ]
03-04 14:59:26.706  1678  2517 V WifiNetworkFactory: Accepted network request NetworkRequest [ REQUEST id=5212, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10154 RequestorUid: 10154 RequestorPkg: com.google.android.apps.nbu.files UnderlyingNetworks: Null] ]
03-04 14:59:26.706  1678  2517 D UntrustedWifiNetworkFactory: got request NetworkRequest [ REQUEST id=5212, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10154 RequestorUid: 10154 RequestorPkg: com.google.android.apps.nbu.files UnderlyingNetworks: Null] ]
03-04 14:59:26.707  1678  2526 D ConnectivityService: NetReassign [5212 : null → 103] [c 0] [a 2] [i 4]
03-04 14:59:26.708  1678  2517 D OemPaidWifiNetworkFactory: got request NetworkRequest [ REQUEST id=5212, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10154 RequestorUid: 10154 RequestorPkg: com.google.android.apps.nbu.files UnderlyingNetworks: Null] ]
03-04 14:59:26.708  1678  2517 D MultiInternetWifiNetworkFactory: got request NetworkRequest [ REQUEST id=5212, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10154 RequestorUid: 10154 RequestorPkg: com.google.android.apps.nbu.files UnderlyingNetworks: Null] ]
03-04 14:59:26.729  9716  9784 W JobInfo : Requested important-while-foreground flag for job2968 is ignored and takes no effect
03-04 14:59:26.737  1678  3076 D ConnectivityService: requestNetwork for uid/pid:10154/9716 activeRequest: null callbackRequest: 5213 [NetworkRequest [ REQUEST id=5214, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10154 RequestorUid: 10154 RequestorPkg: com.google.android.apps.nbu.files UnderlyingNetworks: Null] ]] callback flags: 0 order: 2147483647 isUidTracked: false declaredMethods: AVAIL|LOST|NC|BLK
03-04 14:59:26.743   925  3187 I bthal.activity: bt_power: LeAdvStat: 14:59:20:317 - 14:59:26:743, duration: 6425, le_adv_count: 73, total_le_adv_count: 9120, total_event_count: 86
03-04 14:59:26.755  1678  2517 D WifiNetworkFactory: got request NetworkRequest [ REQUEST id=5214, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10154 RequestorUid: 10154 RequestorPkg: com.google.android.apps.nbu.files UnderlyingNetworks: Null] ]
03-04 14:59:26.755  1678  2517 V WifiNetworkFactory: Accepted network request NetworkRequest [ REQUEST id=5214, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10154 RequestorUid: 10154 RequestorPkg: com.google.android.apps.nbu.files UnderlyingNetworks: Null] ]
03-04 14:59:26.757  1678  2517 D UntrustedWifiNetworkFactory: got request NetworkRequest [ REQUEST id=5214, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10154 RequestorUid: 10154 RequestorPkg: com.google.android.apps.nbu.files UnderlyingNetworks: Null] ]
03-04 14:59:26.760  1678  2517 D OemPaidWifiNetworkFactory: got request NetworkRequest [ REQUEST id=5214, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10154 RequestorUid: 10154 RequestorPkg: com.google.android.apps.nbu.files UnderlyingNetworks: Null] ]
03-04 14:59:26.761  1678  2517 D MultiInternetWifiNetworkFactory: got request NetworkRequest [ REQUEST id=5214, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10154 RequestorUid: 10154 RequestorPkg: com.google.android.apps.nbu.files UnderlyingNetworks: Null] ]
03-04 14:59:26.761  1678  2526 D ConnectivityService: NetReassign [5214 : null → 103] [c 0] [a 10] [i 12]
03-04 14:59:26.779  9716  9807 W JobInfo : Requested important-while-foreground flag for job2969 is ignored and takes no effect
03-04 14:59:26.789  1678  3076 D ConnectivityService: requestNetwork for uid/pid:10154/9716 activeRequest: null callbackRequest: 5215 [NetworkRequest [ REQUEST id=5216, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10154 RequestorUid: 10154 RequestorPkg: com.google.android.apps.nbu.files UnderlyingNetworks: Null] ]] callback flags: 0 order: 2147483647 isUidTracked: false declaredMethods: AVAIL|LOST|NC|BLK
03-04 14:59:26.810  1678  2517 D WifiNetworkFactory: got request NetworkRequest [ REQUEST id=5216, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10154 RequestorUid: 10154 RequestorPkg: com.google.android.apps.nbu.files UnderlyingNetworks: Null] ]
03-04 14:59:26.810  1678  2517 V WifiNetworkFactory: Accepted network request NetworkRequest [ REQUEST id=5216, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10154 RequestorUid: 10154 RequestorPkg: com.google.android.apps.nbu.files UnderlyingNetworks: Null] ]
03-04 14:59:26.811  1678  2517 D UntrustedWifiNetworkFactory: got request NetworkRequest [ REQUEST id=5216, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10154 RequestorUid: 10154 RequestorPkg: com.google.android.apps.nbu.files UnderlyingNetworks: Null] ]
03-04 14:59:26.812  1678  2517 D OemPaidWifiNetworkFactory: got request NetworkRequest [ REQUEST id=5216, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10154 RequestorUid: 10154 RequestorPkg: com.google.android.apps.nbu.files UnderlyingNetworks: Null] ]
03-04 14:59:26.813  1678  2517 D MultiInternetWifiNetworkFactory: got request NetworkRequest [ REQUEST id=5216, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10154 RequestorUid: 10154 RequestorPkg: com.google.android.apps.nbu.files UnderlyingNetworks: Null] ]
03-04 14:59:26.814  9716  9807 W JobInfo : Requested important-while-foreground flag for job2970 is ignored and takes no effect
03-04 14:59:26.815  1678  2526 D ConnectivityService: NetReassign [5216 : null → 103] [c 0] [a 12] [i 13]
03-04 14:59:26.823  1678  3076 D ConnectivityService: requestNetwork for uid/pid:10154/9716 activeRequest: null callbackRequest: 5217 [NetworkRequest [ REQUEST id=5218, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10154 RequestorUid: 10154 RequestorPkg: com.google.android.apps.nbu.files UnderlyingNetworks: Null] ]] callback flags: 0 order: 2147483647 isUidTracked: false declaredMethods: AVAIL|LOST|NC|BLK
03-04 14:59:26.842  1678  2517 D WifiNetworkFactory: got request NetworkRequest [ REQUEST id=5218, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10154 RequestorUid: 10154 RequestorPkg: com.google.android.apps.nbu.files UnderlyingNetworks: Null] ]
03-04 14:59:26.843  1678  2517 V WifiNetworkFactory: Accepted network request NetworkRequest [ REQUEST id=5218, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10154 RequestorUid: 10154 RequestorPkg: com.google.android.apps.nbu.files UnderlyingNetworks: Null] ]
